alpha,,2,2,5,5,10,10,15,15,20,20,25,25,30,30
sampler,,SS,PHS,SS,PHS,SS,PHS,SS,PHS,SS,PHS,SS,PHS,SS,PHS
M,Ref. points,,,,,,,,,,,,,,
15,680,,0.999134,1.787025,1.925605,2.338595,2.503601,2.565395,2.742652,2.687692,2.871935,2.764044,2.952776,2.816215,3.008072
15,3060,0.89509,0.999134,1.787746,1.925605,2.341597,2.503601,2.565519,2.742652,2.685291,2.871935,2.759797,2.952776,2.810619,3.008072
15,11628,0.878931,0.999134,1.790161,1.925605,2.342951,1.45871,2.56944,1.434261,2.689869,1.441771,2.762652,1.451557,2.811898,1.455973
15,38760,0.868232,0.999134,1.786706,1.06544,2.338595,1.023717,2.565395,1.023437,2.687557,1.01945,2.763494,1.023859,2.814844,1.027703
