alpha,,1,1,2,2,5,5,10,10,15,15,20,20,25,25,30,30
sampler,,SS,PS,SS,PS,SS,PS,SS,PS,SS,PS,SS,PS,SS,PS,SS,PS
M,Ref. points,,,,,,,,,,,,,,,,
15,680,0.305421,0.502259,0.541328,0.998891,0.925636,1.895772,0.981979,2.391181,0.996172,2.520893,1.002807,2.550964,1.006878,2.557604,1.009678,2.559403
15,3060,0.211717,0.502259,0.516112,0.998891,0.857941,1.895772,0.909564,2.391181,0.924979,2.520893,0.933195,2.550964,0.938325,2.557604,0.941832,2.559403
15,11628,0.145352,0.502259,0.50287,0.998891,0.821739,1.895772,0.870924,1.410919,0.883346,1.398047,0.89007,1.405948,0.894327,1.409484,0.897261,1.417236
15,38760,0.0,0.502259,0.493766,0.998891,0.802878,1.081288,0.848388,1.035242,0.863206,1.039731,0.871207,0.912153,0.876225,0.915371,0.879664,0.918231
