alpha,,2,2,5,5,10,10,15,15,20,20,25,25,30,30
sampler,,SS,PHS,SS,PHS,SS,PHS,SS,PHS,SS,PHS,SS,PHS,SS,PHS
M,Ref. points,,,,,,,,,,,,,,
15,680,,1.401983,2.107931,2.302025,2.708774,2.913522,2.951856,3.164791,3.082259,3.300325,3.163478,3.384972,3.218899,3.442831
15,3060,1.183216,1.401983,2.114939,2.302025,2.715747,2.913522,2.955301,3.164791,3.082752,3.300325,3.161871,3.384972,3.215775,3.442831
15,11628,1.177254,1.401983,2.111261,2.302025,2.712725,1.921084,2.956095,1.805624,3.086506,1.821214,3.166554,1.830585,3.218807,1.82681
15,38760,1.173358,1.401983,2.107931,1.407676,2.708774,1.369885,2.951856,1.385523,3.082259,1.378504,3.163478,1.383858,3.218899,1.389272
