,,PHS,PHS,PHS,PHS,SS,SS,SS,SS,result,result,result,result
alpha,,1,10,20,30,1,10,20,30,1,10,20,30
M,refs,,,,,,,,,,,,
3,91,0.064359 ± 0.001784,0.096865 ± 0.004919,0.088311 ± 0.002274,0.085899 ± 0.002297,0.040791,0.110491,0.112168,0.112494,SS better,PHS better,PHS better,PHS better
3,136,0.050009 ± 0.000926,0.072045 ± 0.002832,0.067549 ± 0.001129,0.066021 ± 0.001022,0.032633,0.103488,0.105101,0.105417,SS better,PHS better,PHS better,PHS better
3,231,0.037728 ± 0.000515,0.052280 ± 0.000900,0.051390 ± 0.000929,0.050230 ± 0.000606,0.024475,0.096819,0.098228,0.09848,SS better,PHS better,PHS better,PHS better
3,351,0.029752 ± 0.000360,0.041983 ± 0.000704,0.041057 ± 0.000625,0.040277 ± 0.000459,0.01958,0.092139,0.093531,0.093792,SS better,PHS better,PHS better,PHS better
3,496,0.024977 ± 0.000225,0.033834 ± 0.000548,0.033553 ± 0.000457,0.032969 ± 0.000297,0.016316,0.090984,0.092666,0.092918,SS better,PHS better,PHS better,PHS better
