,,PS,PS,PS,PS,SS,SS,SS,SS,result,result,result,result
alpha,,1.0,10.0,20.0,30.0,1.0,10.0,20.0,30.0,1.0,10.0,20.0,30.0
M,refs,,,,,,,,,,,,
3,91,0.221155 ± 0.014480,0.312499 ± 0.039653,0.257850 ± 0.012149,0.253495 ± 0.013695,0.066954,0.415679,0.431627,0.434818,SS better,PS better,PS better,PS better
3,136,0.178468 ± 0.011835,0.246695 ± 0.039556,0.188776 ± 0.011210,0.185365 ± 0.011082,0.053563,0.412334,0.426543,0.430014,SS better,PS better,PS better,PS better
3,231,0.112180 ± 0.008819,0.155674 ± 0.007268,0.156147 ± 0.007107,0.151765 ± 0.008659,0.040172,0.412334,0.426543,0.430014,SS better,PS better,PS better,PS better
3,351,0.102691 ± 0.007459,0.128923 ± 0.006063,0.125228 ± 0.007084,0.122454 ± 0.007899,0.032138,0.411737,0.426455,0.430014,SS better,PS better,PS better,PS better
3,496,0.077788 ± 0.011052,0.104311 ± 0.005848,0.102623 ± 0.005834,0.098714 ± 0.004101,0.026782,0.410907,0.425206,0.429915,SS better,PS better,PS better,PS better
