alpha,,1,1,2,2,5,5,10,10,15,15,20,20,25,25,30,30
sampler,,SS,PS,SS,PS,SS,PS,SS,PS,SS,PS,SS,PS,SS,PS,SS,PS
M,Ref. points,,,,,,,,,,,,,,,,
15,680,0.408248,1.012423,0.653374,1.23783,1.238021,2.171912,1.436228,2.715131,1.513008,2.854766,1.555243,2.886198,1.581965,2.892444,1.600374,2.893657
15,3060,0.288675,1.012423,0.605811,1.23783,1.220871,2.171912,1.440736,2.715131,1.533108,2.854766,1.58326,2.886198,1.614641,2.892444,1.636102,2.893657
15,11628,0.182574,1.012423,0.576658,1.23783,1.239557,2.171912,1.463988,1.838972,1.526555,1.774421,1.561553,1.802825,1.584,1.815944,1.59959,1.818532
15,38760,0.0,1.012423,0.557044,1.23783,1.228388,1.468191,1.417787,1.418935,1.494603,1.421455,1.537283,1.421834,1.564308,1.426502,1.582922,1.428374
