,,PS,PS,PS,PS,SS,SS,SS,SS,result,result,result,result
alpha,,1.0,10.0,20.0,30.0,1.0,10.0,20.0,30.0,1.0,10.0,20.0,30.0
M,refs,,,,,,,,,,,,
3,91,0.063344 ± 0.001913,0.097037 ± 0.005051,0.088738 ± 0.002358,0.086941 ± 0.002295,0.079064,0.262508,0.265655,0.266156,PS better,PS better,PS better,PS better
3,136,0.049963 ± 0.001091,0.071268 ± 0.002708,0.067416 ± 0.001151,0.066268 ± 0.000961,0.073011,0.259059,0.262234,0.262715,PS better,PS better,PS better,PS better
3,231,0.037485 ± 0.000405,0.052166 ± 0.000973,0.051072 ± 0.000833,0.050386 ± 0.000660,0.067095,0.255770,0.258751,0.259142,PS better,PS better,PS better,PS better
3,351,0.029838 ± 0.000280,0.041903 ± 0.000798,0.040925 ± 0.000685,0.040442 ± 0.000587,0.064025,0.254732,0.257579,0.258045,PS better,PS better,PS better,PS better
3,496,0.025001 ± 0.000216,0.033823 ± 0.000436,0.033382 ± 0.000375,0.033091 ± 0.000303,0.061000,0.253474,0.256756,0.257158,PS better,PS better,PS better,PS better
