,,PHS,PHS,PHS,PHS,SS,SS,SS,SS,result,result,result,result
alpha,,1,10,20,30,1,10,20,30,1,10,20,30
M,refs,,,,,,,,,,,,
3,91,0.222264 ± 0.017769,0.310595 ± 0.041113,0.258074 ± 0.012937,0.257477 ± 0.012043,0.408248,0.706831,0.707107,0.707107,PHS better,PHS better,PHS better,PHS better
3,136,0.169651 ± 0.020656,0.229061 ± 0.039853,0.191202 ± 0.010035,0.188572 ± 0.011120,0.410961,0.708346,0.708676,0.708676,PHS better,PHS better,PHS better,PHS better
3,231,0.114411 ± 0.009295,0.157842 ± 0.010091,0.156111 ± 0.007470,0.153538 ± 0.008045,0.408248,0.706831,0.707107,0.707107,PHS better,PHS better,PHS better,PHS better
3,351,0.105605 ± 0.009264,0.128120 ± 0.004997,0.125251 ± 0.007488,0.122232 ± 0.006878,0.409227,0.707377,0.707672,0.707672,PHS better,PHS better,PHS better,PHS better
3,496,0.081788 ± 0.011128,0.103784 ± 0.006993,0.100845 ± 0.006287,0.100538 ± 0.006343,0.408248,0.706831,0.707107,0.707107,PHS better,PHS better,PHS better,PHS better
